Mois,Région,Rayonnement solaire global (W/m2),Vitesse du vent à 100m (m/s)
2018-11,Bourgogne-Franche-Comté,62.74641666666671,4.926458333333329
2018-11,Bretagne,59.863666666666646,8.358458333333333
2018-11,Centre-Val de Loire,60.602916666666694,6.27220833333333
2018-11,Corse,84.51137500000002,4.586541666666666
2018-11,Grand-Est,57.45020833333337,5.474166666666667
2018-11,Hauts-de-France,53.12216666666671,7.127874999999994
2018-11,Ile-de-France,56.755124999999985,6.463499999999998
2018-11,Normandie,58.03595833333337,7.740291666666667
2018-11,Nouvelle-Aquitaine,71.3225833333333,5.710083333333338
2018-11,Occitanie,73.38916666666668,5.798208333333335
2018-11,Pays de la Loire,64.03941666666668,7.262375
2018-11,Provence-Alpes-Côte d'Azur,71.54254166666664,6.504958333333335
2018-12,Auvergne-Rhône-Alpes,47.3587096774194,3.999072580645162
2018-12,Bourgogne-Franche-Comté,35.06854838709678,6.317943548387095
2018-12,Bretagne,34.073185483870986,9.54443548387097
2018-12,Centre-Val de Loire,35.57915322580645,7.652620967741934
2018-12,Corse,71.67459677419357,5.335645161290322
2018-12,Grand-Est,30.71959677419356,6.917298387096779
2018-12,Hauts-de-France,28.97463709677421,8.36931451612903
2018-12,Ile-de-France,31.25544354838707,7.5039112903225815
2018-12,Normandie,31.52608870967742,9.275403225806452
2018-12,Nouvelle-Aquitaine,46.899233870967734,6.647983870967745
2018-12,Occitanie,60.01423387096777,5.842056451612906
2018-12,Pays de la Loire,36.85540322580647,8.268588709677422
2018-12,Provence-Alpes-Côte d'Azur,70.56205645161282,6.444032258064515
2019-01,Auvergne-Rhône-Alpes,58.58826612903228,4.6909274193548365
2019-01,Bourgogne-Franche-Comté,44.17685483870966,5.397782258064513
2019-01,Bretagne,46.773024193548416,7.40133064516129
2019-01,Centre-Val de Loire,44.90899193548385,6.1266532258064546
2019-01,Corse,83.47100806451616,4.755725806451613
2019-01,Grand-Est,40.07798387096773,5.953870967741937
2019-01,Hauts-de-France,38.499072580645176,7.125806451612907
2019-01,Ile-de-France,41.7838306451613,6.318911290322578
2019-01,Normandie,42.74733870967742,7.5345564516129
2019-01,Nouvelle-Aquitaine,56.35092741935488,5.752499999999999
2019-01,Occitanie,69.64866935483867,7.364879032258065
2019-01,Pays de la Loire,52.34290322580645,6.462298387096776
2019-01,Provence-Alpes-Côte d'Azur,85.74512096774195,7.4743548387096785
2019-02,Auvergne-Rhône-Alpes,116.31415178571426,3.741160714285715
2019-02,Bourgogne-Franche-Comté,101.04138392857145,5.268749999999996
2019-02,Bretagne,92.49571428571427,8.220892857142847
2019-02,Centre-Val de Loire,96.03660714285716,6.328392857142856
2019-02,Corse,135.08714285714277,4.59044642857143
2019-02,Grand-Est,93.57080357142856,5.828392857142861
2019-02,Hauts-de-France,86.52428571428568,7.20294642857143
2019-02,Ile-de-France,90.57254464285718,6.4601785714285755
2019-02,Normandie,91.61968750000003,7.782767857142856
2019-02,Nouvelle-Aquitaine,113.13437499999995,5.738705357142861
2019-02,Occitanie,123.40084821428563,5.312008928571426
2019-02,Pays de la Loire,99.72705357142856,7.102410714285719
2019-02,Provence-Alpes-Côte d'Azur,130.32437499999997,5.029285714285713
2019-03,Auvergne-Rhône-Alpes,156.33717741935484,4.5729435483870935
2019-03,Bourgogne-Franche-Comté,134.53512096774188,6.932822580645163
2019-03,Bretagne,138.80072580645157,9.486975806451607
2019-03,Centre-Val de Loire,138.24217741935485,7.999798387096771
2019-03,Corse,195.03822580645163,5.920564516129031
2019-03,Grand-Est,124.92657258064507,7.5593145161290325
2019-03,Hauts-de-France,117.65995967741937,8.71774193548388
2019-03,Ile-de-France,125.07794354838703,7.896532258064521
2019-03,Normandie,129.6470967741935,9.334274193548387
2019-03,Nouvelle-Aquitaine,158.22874999999996,6.949838709677421
2019-03,Occitanie,172.8595564516129,6.482540322580644
2019-03,Pays de la Loire,145.62891129032252,8.44834677419355
2019-03,Provence-Alpes-Côte d'Azur,197.20225806451612,6.747741935483867
2019-04,Auvergne-Rhône-Alpes,196.7705,3.9995000000000003
2019-04,Bourgogne-Franche-Comté,186.18670833333348,4.780541666666668
2019-04,Bretagne,183.32112500000002,7.096416666666661
2019-04,Centre-Val de Loire,190.85145833333345,5.6594166666666705
2019-04,Corse,227.93400000000008,4.414208333333337
2019-04,Grand-Est,183.79504166666666,5.226249999999996
2019-04,Hauts-de-France,190.05175000000003,6.225541666666666
2019-04,Ile-de-France,191.87795833333328,5.64191666666667
2019-04,Normandie,191.89937499999994,6.698374999999998
2019-04,Nouvelle-Aquitaine,191.0318750000001,5.696291666666669
2019-04,Occitanie,197.78800000000007,6.121125000000005
2019-04,Pays de la Loire,188.58462500000002,6.21766666666667
2019-04,Provence-Alpes-Côte d'Azur,215.609,6.205166666666661
2019-05,Auvergne-Rhône-Alpes,237.32229838709685,4.508508064516129
2019-05,Bourgogne-Franche-Comté,219.73088709677424,5.263991935483869
2019-05,Bretagne,238.53173387096783,6.5594354838709705
2019-05,Centre-Val de Loire,224.8021774193549,5.950685483870966
2019-05,Corse,262.75495967741944,4.834032258064516
2019-05,Grand-Est,216.28427419354867,5.2668145161290285
2019-05,Hauts-de-France,220.51145161290336,5.950201612903227
2019-05,Ile-de-France,218.85358870967747,5.640161290322583
2019-05,Normandie,237.933064516129,6.285645161290326
2019-05,Nouvelle-Aquitaine,234.82504032258046,5.752782258064513
2019-05,Occitanie,244.94080645161293,6.176411290322574
2019-05,Pays de la Loire,238.21245967741925,6.3620564516129035
2019-05,Provence-Alpes-Côte d'Azur,265.6106854838709,6.282580645161296
2019-06,Auvergne-Rhône-Alpes,289.54525,3.5134166666666666
2019-06,Bourgogne-Franche-Comté,276.6747916666667,4.3775
2019-06,Bretagne,247.28262500000008,6.183041666666665
2019-06,Centre-Val de Loire,259.16658333333334,5.356583333333334
2019-06,Corse,316.99791666666664,3.3803333333333336
2019-06,Grand-Est,274.13583333333344,4.679333333333334
2019-06,Hauts-de-France,253.78712499999986,5.9477916666666655
2019-06,Ile-de-France,252.73324999999994,5.359500000000001
2019-06,Normandie,252.82574999999997,6.074333333333334
2019-06,Nouvelle-Aquitaine,268.6529166666666,4.968208333333335
2019-06,Occitanie,291.5380833333333,4.931625
2019-06,Pays de la Loire,261.46195833333326,5.71020833333333
2019-06,Provence-Alpes-Côte d'Azur,314.4716666666665,4.903749999999998
2019-07,Auvergne-Rhône-Alpes,289.0894758064516,3.3834274193548377
2019-07,Bourgogne-Franche-Comté,278.3279435483871,4.2279838709677415
2019-07,Bretagne,283.8666532258063,5.940282258064515
2019-07,Centre-Val de Loire,282.44201612903237,5.139233870967745
