Mois,Région,Production solaire (GWh),Production éolienne (GWh)
2016-09,Nouvelle-Aquitaine,225.942912,34.162496
2016-09,Occitanie,186.153578,174.325732
2016-09,Pays de la Loire,38.676119,48.821232
2016-09,Provence-Alpes-Côte d'Azur,129.621641,5.459418
2016-09,Île-de-France,6.379781,2.362558
2016-10,Auvergne-Rhône-Alpes,71.995495,64.507412
2016-10,Bourgogne-Franche-Comté,21.088763,65.873888
2016-10,Bretagne,21.544553,95.095347
2016-10,Centre-Val de Loire,22.475811,130.383282
2016-10,Corse,11.126504,2.641838
2016-10,Grand Est,39.35114,357.426723
2016-10,Hauts-de-France,14.240269,288.280353
2016-10,Normandie,12.265476,70.712244
2016-10,Nouvelle-Aquitaine,205.650166,64.475978
2016-10,Occitanie,153.104145,162.650609
2016-10,Pays de la Loire,43.885278,93.985976
2016-10,Provence-Alpes-Côte d'Azur,102.872565,9.4367
2016-10,Île-de-France,7.305802,4.345425
2016-11,Auvergne-Rhône-Alpes,33.021683,84.493802
2016-11,Bourgogne-Franche-Comté,7.207216,93.462195
2016-11,Bretagne,7.894648,164.41986
2016-11,Centre-Val de Loire,9.459685,221.563981
2016-11,Corse,7.785841,3.017701
2016-11,Grand Est,16.528932,573.044657
2016-11,Hauts-de-France,6.122325,533.677434
2016-11,Normandie,4.884672,138.760593
2016-11,Nouvelle-Aquitaine,109.982788,113.888476
2016-11,Occitanie,80.480923,235.478508
2016-11,Pays de la Loire,18.769572,145.963411
2016-11,Provence-Alpes-Côte d'Azur,64.314701,9.184942
2016-11,Île-de-France,2.348763,6.722289
2016-12,Auvergne-Rhône-Alpes,37.192354,60.816053
2016-12,Bourgogne-Franche-Comté,7.826356,64.421581
2016-12,Bretagne,6.253133,106.152348
2016-12,Centre-Val de Loire,9.394587,94.436058
2016-12,Corse,7.604228,1.501485
2016-12,Grand Est,15.946489,328.906311
2016-12,Hauts-de-France,6.281208,388.999503
2016-12,Normandie,4.493979,96.584003
2016-12,Nouvelle-Aquitaine,103.853085,77.654679
2016-12,Occitanie,87.657446,203.223925
2016-12,Pays de la Loire,15.57388,96.68041
2016-12,Provence-Alpes-Côte d'Azur,64.58824,7.071023
2016-12,Île-de-France,2.083556,2.891723
2017-01,Auvergne-Rhône-Alpes,30.965511,88.241436
2017-01,Bourgogne-Franche-Comté,7.218922,92.084224
2017-01,Bretagne,7.915331,125.069041
2017-01,Centre-Val de Loire,9.591436,166.136859
2017-01,Corse,6.535086,3.042584
2017-01,Grand Est,16.143971,490.475824
2017-01,Hauts-de-France,3.857183,421.572065
2017-01,Normandie,4.601843,95.981629
2017-01,Nouvelle-Aquitaine,104.031168,126.370075
2017-01,Occitanie,87.501482,305.37799
2017-01,Pays de la Loire,18.35983,112.13242
2017-01,Provence-Alpes-Côte d'Azur,64.197729,15.453356
2017-01,Île-de-France,2.019673,5.146914
2017-02,Auvergne-Rhône-Alpes,44.213281,101.150699
2017-02,Bourgogne-Franche-Comté,10.372096,107.567798
2017-02,Bretagne,9.258744,177.948982
2017-02,Centre-Val de Loire,11.175114,220.285505
2017-02,Corse,9.009908,1.72424
2017-02,Grand Est,20.768038,598.94503
2017-02,Hauts-de-France,4.224534,603.726875
2017-02,Normandie,4.967004,149.431019
2017-02,Nouvelle-Aquitaine,118.99532,136.278057
2017-02,Occitanie,103.799789,272.707364
2017-02,Pays de la Loire,20.935974,154.472813
2017-02,Provence-Alpes-Côte d'Azur,69.924202,10.184633
2017-02,Île-de-France,2.601717,7.200451
2017-03,Auvergne-Rhône-Alpes,70.532253,89.614039
2017-03,Bourgogne-Franche-Comté,17.892703,118.382068
2017-03,Bretagne,15.513595,171.500322
2017-03,Centre-Val de Loire,18.994319,204.517252
2017-03,Corse,15.16575,3.018403
2017-03,Grand Est,42.617364,691.486104
2017-03,Hauts-de-France,10.525768,693.189786
2017-03,Normandie,9.06728,150.970989
2017-03,Nouvelle-Aquitaine,179.7736,118.505136
2017-03,Occitanie,167.440813,260.680169
2017-03,Pays de la Loire,33.547753,136.93957
2017-03,Provence-Alpes-Côte d'Azur,117.88373,8.435487
2017-03,Île-de-France,5.424804,9.908314
2017-04,Auvergne-Rhône-Alpes,100.805464,91.423474
2017-04,Bourgogne-Franche-Comté,28.41976,65.618963
2017-04,Bretagne,25.152029,90.348387
2017-04,Centre-Val de Loire,33.081829,109.187691
2017-04,Corse,17.37878,2.218405
2017-04,Grand Est,58.807665,286.00796
2017-04,Hauts-de-France,15.602571,283.706823
2017-04,Normandie,15.871035,54.711244
2017-04,Nouvelle-Aquitaine,295.472147,112.69256
2017-04,Occitanie,236.645246,261.231087
2017-04,Pays de la Loire,57.835591,97.048591
2017-04,Provence-Alpes-Côte d'Azur,151.797612,13.61332
2017-04,Île-de-France,8.884877,4.76272
2017-05,Auvergne-Rhône-Alpes,105.86375,74.622862
2017-05,Bourgogne-Franche-Comté,29.972214,74.820817
2017-05,Bretagne,26.234011,108.877422
2017-05,Centre-Val de Loire,33.118146,120.610437
2017-05,Corse,19.014822,1.995738
2017-05,Grand Est,67.330326,301.371512
2017-05,Hauts-de-France,17.113247,326.727838
2017-05,Normandie,16.510147,75.330853
2017-05,Nouvelle-Aquitaine,296.290163,98.993337
2017-05,Occitanie,243.721481,207.341664
2017-05,Pays de la Loire,60.348804,101.046582
2017-05,Provence-Alpes-Côte d'Azur,165.758426,6.394893
2017-05,Île-de-France,10.194492,5.166935
2017-06,Auvergne-Rhône-Alpes,112.517373,56.895511
2017-06,Bourgogne-Franche-Comté,32.734,70.683326
2017-06,Bretagne,28.705462,86.152876
2017-06,Centre-Val de Loire,36.915023,106.977041
2017-06,Corse,19.052485,1.45878
2017-06,Grand Est,73.059583,342.853772
2017-06,Hauts-de-France,19.466197,395.584793
2017-06,Normandie,18.747543,74.69756
2017-06,Nouvelle-Aquitaine,295.348917,78.542817
2017-06,Occitanie,243.41923,171.402573
2017-06,Pays de la Loire,65.79679,80.522465
2017-06,Provence-Alpes-Côte d'Azur,174.600805,5.624481
2017-06,Île-de-France,11.108787,5.034175
2017-07,Auvergne-Rhône-Alpes,108.379619,69.372419
2017-07,Bourgogne-Franche-Comté,28.824049,72.603387
2017-07,Bretagne,25.386759,107.746065
2017-07,Centre-Val de Loire,31.05448,142.529952
2017-07,Corse,22.122666,1.801193
2017-07,Grand Est,63.89815,370.590186
